specimen_id,beta_deg,a_mm,role,active_pair,ext_xn_mm,level_kind,load_fraction,P_kN,frame,CSD_W_um,COD_um,R_III,nA,nB
0-4-1,0,4,identification,1,15.747188,boundary_condition,0.000000,0.000000,1,0.000000,0.000000,,0,0
0-4-1,0,4,identification,1,15.747188,measured,0.199700,0.697885,1,0.000000,0.000000,,16,16
0-4-1,0,4,identification,1,15.747188,measured,0.500000,1.747500,648,19.092354,-0.932688,20.470246,16,16
0-4-1,0,4,identification,1,15.747188,measured,0.700000,2.446500,822,21.528143,-0.374715,57.452120,16,16
0-4-1,0,4,identification,1,15.747188,measured,0.850000,2.970750,938,22.534923,-0.047091,478.538446,16,16
0-4-1,0,4,identification,1,15.747188,measured,0.950000,3.320250,1016,24.838950,0.381156,65.167407,16,16
0-4-1,0,4,identification,1,15.747188,measured,1.000000,3.495000,1054,24.684207,0.726751,33.965171,16,16
0-4-2,0,4,identification,1,15.811464,boundary_condition,0.000000,0.000000,1,0.000000,0.000000,,0,0
0-4-2,0,4,identification,1,15.811464,measured,0.225100,0.692547,1,0.000000,0.000000,,16,16
0-4-2,0,4,identification,1,15.811464,measured,0.500000,1.538500,327,-2.179209,-0.315573,6.905573,16,16
0-4-2,0,4,identification,1,15.811464,measured,0.700000,2.153900,518,-3.005550,-0.452198,6.646540,16,16
0-4-2,0,4,identification,1,15.811464,measured,0.850000,2.615450,654,-5.292235,-0.069710,75.917718,16,16
0-4-2,0,4,identification,1,15.811464,measured,0.950000,2.923150,738,-10.407247,-1.158102,8.986472,16,16
0-4-2,0,4,identification,1,15.811464,measured,1.000000,3.077000,780,-10.723836,-1.631303,6.573788,16,16
0-4-3,0,4,held_out,5,-15.553106,boundary_condition,0.000000,0.000000,1,0.000000,0.000000,,0,0
0-4-3,0,4,held_out,5,-15.553106,measured,0.292000,0.948202,1,0.000000,0.000000,,16,14
0-4-3,0,4,held_out,5,-15.553106,measured,0.500000,1.623500,167,-4.002315,-1.400523,2.857728,16,14
0-4-3,0,4,held_out,5,-15.553106,measured,0.700000,2.272900,302,-1.765755,-0.364390,4.845778,16,14
0-4-3,0,4,held_out,5,-15.553106,measured,0.850000,2.759950,394,-2.359593,0.100777,23.413889,16,14
