specimen,beta_deg,a_mm,replicate,peak_force_kN,peak_disp_mm,stiffness_kN_mm,energy_J,KIIIc_uncorr,KIIIc_mu02
0-4-1,0,4,1,3.495,0.627,8.02,0.5944,0.592,0.559
0-4-2,0,4,2,3.077,0.495,5.56,0.6568,0.521,0.492
0-4-3,0,4,3,3.247,0.361,7.17,0.5771,0.55,0.519
0-6-1,0,6,1,2.355,0.418,5.54,0.3582,0.532,0.525
0-6-2,0,6,2,2.454,0.626,5.72,0.3869,0.554,0.547
0-6-3,0,6,3,2.603,0.306,7.07,0.3713,0.588,0.581
0-8-1,0,8,1,2.183,0.313,6.23,0.273,0.648,0.576
0-8-2,0,8,2,2.033,0.346,4.58,0.2916,0.604,0.537
0-8-3,0,8,3,1.955,0.377,4.62,0.2772,0.58,0.516
45-4-1,45,4,1,6.612,0.319,22.05,0.8755,1.119,1.058
45-4-2,45,4,2,7.331,0.243,21.14,1.0548,1.241,1.173
45-4-3,45,4,3,7.247,0.423,23.34,1.0303,1.227,1.159
45-6-1,45,6,1,4.527,0.39,14.22,0.6655,1.023,1.01
45-6-2,45,6,2,4.699,0.323,15.07,0.6074,1.062,1.048
45-6-3,45,6,3,5.15,0.499,11.76,0.8985,1.164,1.149
45-8-1,45,8,1,4.038,0.741,6.07,0.9294,1.199,1.066
45-8-2,45,8,2,3.579,0.431,9.79,0.5096,1.063,0.945
45-8-3,45,8,3,3.399,0.509,6.55,0.5776,1.009,0.897
90-4-1,90,4,1,14.02,0.518,39.88,2.1673,2.373,2.243
90-4-2,90,4,2,11.926,0.513,29.04,2.2551,2.019,1.908
90-4-3,90,4,3,12.797,0.465,37.76,2.0646,2.166,2.047
90-6-1,90,6,1,9.769,0.419,29.53,1.4298,2.207,2.179
90-6-2,90,6,2,8.292,0.62,20.43,2.117,1.874,1.85
90-6-3,90,6,3,9.763,0.542,24.95,1.6027,2.206,2.178
90-8-1,90,8,1,5.976,0.922,10.54,1.2224,1.774,1.577
90-8-2,90,8,2,6.952,0.34,27.3,0.8133,2.064,1.835
90-8-3,90,8,3,6.635,0.34,24.62,0.805,1.97,1.751
wanzheng-1,,0,,14.8,0.323,53.45,1.8317,,
wanzheng-2,,0,,16.2,0.544,36.04,3.3444,,
